row-number,field,issue-type,value
236,PlanningHistory,uri,09/00757/OUT
236,LastUpdatedDate,default,2018-05-22
237,PlanningHistory,uri,10/01256/FUL
237,LastUpdatedDate,default,2018-05-22
238,PlanningHistory,uri,10/01181/FUL
238,LastUpdatedDate,default,2018-05-22
239,PlanningHistory,uri,11/00813/FUL
239,LastUpdatedDate,default,2018-05-22
240,PlanningHistory,uri,10/01244/FUL
240,LastUpdatedDate,default,2018-05-22
241,PlanningHistory,uri,10/01197/EXT  15/01418/FUL  17/00028/FUL
241,LastUpdatedDate,default,2018-05-22
242,PlanningHistory,uri,10/00329/FUL
242,LastUpdatedDate,default,2018-05-22
243,PlanningHistory,uri,11/00123/FUL
243,LastUpdatedDate,default,2018-05-22
244,PlanningHistory,uri,11/00086/FUL
244,LastUpdatedDate,default,2018-05-22
245,PlanningHistory,uri,10/00526/FUL
245,LastUpdatedDate,default,2018-05-22
246,PlanningHistory,uri,10/00972/FUL
246,LastUpdatedDate,default,2018-05-22
247,PlanningHistory,uri,09/00406/FUL
247,LastUpdatedDate,default,2018-05-22
248,PlanningHistory,uri,10/01380/FUL
248,LastUpdatedDate,default,2018-05-22
249,PlanningHistory,uri,09/00265/DWO
249,LastUpdatedDate,default,2018-05-22
250,PlanningHistory,uri,16/00248/FUL
250,LastUpdatedDate,default,2018-05-22
251,PlanningHistory,uri,11/00153/FUL
251,LastUpdatedDate,default,2018-05-22
252,PlanningHistory,uri,16/01060/FUL
252,LastUpdatedDate,default,2018-05-22
253,PlanningHistory,uri,12/00150/FUL
253,LastUpdatedDate,default,2018-05-22
254,PlanningHistory,uri,16/00420/FUL
254,LastUpdatedDate,default,2018-05-22
255,PlanningHistory,uri,17/00493/FUL
255,LastUpdatedDate,default,2018-05-22
256,PlanningHistory,uri,16/01308/FUL
256,LastUpdatedDate,default,2018-05-22
257,PlanningHistory,uri,13/01262/FUL
257,LastUpdatedDate,default,2018-05-22
258,PlanningHistory,uri,13/00599/FUL
258,LastUpdatedDate,default,2018-05-22
259,PlanningHistory,uri,13/00244/EXT
259,LastUpdatedDate,default,2018-05-22
260,PlanningHistory,uri,13/00436/FUL
260,LastUpdatedDate,default,2018-05-22
261,PlanningHistory,uri,13/00682/RC
261,LastUpdatedDate,default,2018-05-22
262,PlanningHistory,uri,11/00430/FUL
262,LastUpdatedDate,default,2018-05-22
263,PlanningHistory,uri,14/00068/OUT
263,LastUpdatedDate,default,2018-05-22
264,PlanningHistory,uri,13/00742/FUL
264,LastUpdatedDate,default,2018-05-22
265,PlanningHistory,uri,13/00791/FUL
265,LastUpdatedDate,default,2018-05-22
266,PlanningHistory,uri,13/00842/FUL
266,LastUpdatedDate,default,2018-05-22
267,PlanningHistory,uri,14/00007/FUL
267,LastUpdatedDate,default,2018-05-22
268,PlanningHistory,uri,14/00026/FUL
268,LastUpdatedDate,default,2018-05-22
269,PlanningHistory,uri,13/01278/FUL
269,LastUpdatedDate,default,2018-05-22
270,PlanningHistory,uri,14/00050/FUL  16/01007/RC
270,LastUpdatedDate,default,2018-05-22
271,PlanningHistory,uri,13/01156/FUL
271,LastUpdatedDate,default,2018-05-22
272,PlanningHistory,uri,13/01073/FUL
272,LastUpdatedDate,default,2018-05-22
273,PlanningHistory,uri,12/01475/FUL
273,LastUpdatedDate,default,2018-05-22
274,PlanningHistory,uri,13/00025/EXT
274,LastUpdatedDate,default,2018-05-22
275,PlanningHistory,uri,13/00064/FUL
275,LastUpdatedDate,default,2018-05-22
276,PlanningHistory,uri,12/01400/FUL
276,LastUpdatedDate,default,2018-05-22
277,PlanningHistory,uri,12/01006/FUL
277,LastUpdatedDate,default,2018-05-22
278,PlanningHistory,uri,12/01362/FUL
278,LastUpdatedDate,default,2018-05-22
279,PlanningHistory,uri,15/01395/FUL
279,LastUpdatedDate,default,2018-05-22
280,PlanningHistory,uri,12/01040/FUL
280,LastUpdatedDate,default,2018-05-22
281,PlanningHistory,uri,12/01227/FUL
281,LastUpdatedDate,default,2018-05-22
282,PlanningHistory,uri,12/00653/FUL
282,LastUpdatedDate,default,2018-05-22
283,PlanningHistory,uri,12/01119/EXT
283,LastUpdatedDate,default,2018-05-22
284,PlanningHistory,uri,12/00939/EXT
284,LastUpdatedDate,default,2018-05-22
285,PlanningHistory,uri,16/00791/FUL
285,LastUpdatedDate,default,2018-05-22
286,PlanningHistory,uri,12/00797/RP
286,LastUpdatedDate,default,2018-05-22
287,PlanningHistory,uri,12/00296/FUL
287,LastUpdatedDate,default,2018-05-22
288,PlanningHistory,uri,12/00344/FUL
288,LastUpdatedDate,default,2018-05-22
289,PlanningHistory,uri,13/00520/FUL
289,LastUpdatedDate,default,2018-05-22
290,PlanningHistory,uri,12/01098/OUT
290,LastUpdatedDate,default,2018-05-22
291,PlanningHistory,uri,12/01099/FUL
291,LastUpdatedDate,default,2018-05-22
292,PlanningHistory,uri,13/00229/FUL
292,LastUpdatedDate,default,2018-05-22
293,PlanningHistory,uri,12/00347/FUL
293,LastUpdatedDate,default,2018-05-22
294,PlanningHistory,uri,12/00318/FUL
294,LastUpdatedDate,default,2018-05-22
295,PlanningHistory,uri,12/00484/VV
295,LastUpdatedDate,default,2018-05-22
296,PlanningHistory,uri,12/01379/OUT
296,LastUpdatedDate,default,2018-05-22
297,PlanningHistory,uri,12/00448/FUL
297,LastUpdatedDate,default,2018-05-22
298,PlanningHistory,uri,12/00528/OUT
298,LastUpdatedDate,default,2018-05-22
299,PlanningHistory,uri,12/00534/FUL
299,LastUpdatedDate,default,2018-05-22
300,PlanningHistory,uri,14/00696/FUL
300,LastUpdatedDate,default,2018-05-22
301,PlanningHistory,uri,14/00845/FUL
301,LastUpdatedDate,default,2018-05-22
302,PlanningHistory,uri,14/01157/FUL   16/00459/PACOU
302,LastUpdatedDate,default,2018-05-22
303,PlanningHistory,uri,15/00366/FUL
303,LastUpdatedDate,default,2018-05-22
304,PlanningHistory,uri,15/00865/PACOU  16/00891/PACOU   16/00858/PACOU
304,LastUpdatedDate,default,2018-05-22
305,PlanningHistory,uri,15/00892/PACOU
305,LastUpdatedDate,default,2018-05-22
306,PlanningHistory,uri,14/00631/FUL
306,LastUpdatedDate,default,2018-05-22
307,PlanningHistory,uri,14/01227/FUL
307,LastUpdatedDate,default,2018-05-22
308,PlanningHistory,uri,15/00336/FUL
308,LastUpdatedDate,default,2018-05-22
309,PlanningHistory,uri,14/00960/FUL
309,LastUpdatedDate,default,2018-05-22
310,PlanningHistory,uri,14/01382/FUL
310,LastUpdatedDate,default,2018-05-22
311,PlanningHistory,uri,14/00165/FUL
311,LastUpdatedDate,default,2018-05-22
312,PlanningHistory,uri,14/01201/FUL
312,LastUpdatedDate,default,2018-05-22
313,PlanningHistory,uri,14/00223/FUL
313,LastUpdatedDate,default,2018-05-22
314,PlanningHistory,uri,14/01105/OUT
314,LastUpdatedDate,default,2018-05-22
315,PlanningHistory,uri,11/00496/FUL
315,LastUpdatedDate,default,2018-05-22
316,PlanningHistory,uri,14/01291/FUL
316,LastUpdatedDate,default,2018-05-22
317,PlanningHistory,uri,14/00641/OUT
317,LastUpdatedDate,default,2018-05-22
318,PlanningHistory,uri,14/00824/FUL
318,LastUpdatedDate,default,2018-05-22
319,PlanningHistory,uri,14/01280/FUL
319,LastUpdatedDate,default,2018-05-22
320,PlanningHistory,uri,14/00090/FUL
320,LastUpdatedDate,default,2018-05-22
321,PlanningHistory,uri,14/00652/PACOU
321,LastUpdatedDate,default,2018-05-22
322,PlanningHistory,uri,14/00964/FUL
322,LastUpdatedDate,default,2018-05-22
323,PlanningHistory,uri,15/00383/FUL
323,LastUpdatedDate,default,2018-05-22
324,PlanningHistory,uri,14/00619/FUL
324,LastUpdatedDate,default,2018-05-22
325,PlanningHistory,uri,14/00769/FUL
325,LastUpdatedDate,default,2018-05-22
326,PlanningHistory,uri,15/01283/REM
326,LastUpdatedDate,default,2018-05-22
327,PlanningHistory,uri,14/01070/FUL
327,LastUpdatedDate,default,2018-05-22
328,PlanningHistory,uri,15/00238/FUL
328,LastUpdatedDate,default,2018-05-22
329,PlanningHistory,uri,15/00350/FUL
329,LastUpdatedDate,default,2018-05-22
330,PlanningHistory,uri,14/00882/FUL
330,LastUpdatedDate,default,2018-05-22
331,PlanningHistory,uri,15/00730/FUL
331,LastUpdatedDate,default,2018-05-22
332,PlanningHistory,uri,14/00934/FUL
332,LastUpdatedDate,default,2018-05-22
333,PlanningHistory,uri,15/00103/FUL
333,LastUpdatedDate,default,2018-05-22
334,PlanningHistory,uri,15/00315/FUL
334,LastUpdatedDate,default,2018-05-22
335,PlanningHistory,uri,15/00057/FUL
335,LastUpdatedDate,default,2018-05-22
336,PlanningHistory,uri,15/00320/FUL
336,LastUpdatedDate,default,2018-05-22
337,PlanningHistory,uri,14/00540/PACOU
337,LastUpdatedDate,default,2018-05-22
338,PlanningHistory,uri,14/00975/FUL
338,LastUpdatedDate,default,2018-05-22
339,PlanningHistory,uri,14/01148/FUL
339,LastUpdatedDate,default,2018-05-22
340,PlanningHistory,uri,16/00512/REM
340,LastUpdatedDate,default,2018-05-22
341,PlanningHistory,uri,14/00475/FUL
341,LastUpdatedDate,default,2018-05-22
342,PlanningHistory,uri,14/01401/FUL
342,LastUpdatedDate,default,2018-05-22
343,PlanningHistory,uri,15/00587/FUL
343,LastUpdatedDate,default,2018-05-22
344,PlanningHistory,uri,14/00428/FUL
344,LastUpdatedDate,default,2018-05-22
345,PlanningHistory,uri,15/00004/FUL
345,LastUpdatedDate,default,2018-05-22
346,PlanningHistory,uri,14/00697/OUT
346,LastUpdatedDate,default,2018-05-22
347,PlanningHistory,uri,14/00810/FUL
347,LastUpdatedDate,default,2018-05-22
348,PlanningHistory,uri,15/00420/FUL
348,LastUpdatedDate,default,2018-05-22
349,PlanningHistory,uri,15/00445/FUL
349,LastUpdatedDate,default,2018-05-22
350,PlanningHistory,uri,15/00452/FUL
350,LastUpdatedDate,default,2018-05-22
351,PlanningHistory,uri,14/00777/FUL
351,LastUpdatedDate,default,2018-05-22
352,PlanningHistory,uri,15/00461/PACOU
352,LastUpdatedDate,default,2018-05-22
353,PlanningHistory,uri,14/01172/FUL
353,LastUpdatedDate,default,2018-05-22
354,PlanningHistory,uri,14/00243/FUL
354,LastUpdatedDate,default,2018-05-22
355,PlanningHistory,uri,14/00975/FUL
355,LastUpdatedDate,default,2018-05-22
356,PlanningHistory,uri,15/00049/FUL
356,LastUpdatedDate,default,2018-05-22
357,PlanningHistory,uri,15/00885/FUL
357,LastUpdatedDate,default,2018-05-22
358,PlanningHistory,uri,15/00306/FUL
358,LastUpdatedDate,default,2018-05-22
359,PlanningHistory,uri,15/00737/FUL
359,LastUpdatedDate,default,2018-05-22
360,PlanningHistory,uri,14/00870/FUL
360,LastUpdatedDate,default,2018-05-22
361,PlanningHistory,uri,14/01125/FUL
361,LastUpdatedDate,default,2018-05-22
362,PlanningHistory,uri,15/00066/OUT
362,LastUpdatedDate,default,2018-05-22
363,PlanningHistory,uri,16/01141/FUL
363,LastUpdatedDate,default,2018-05-22
364,PlanningHistory,uri,14/00384/FUL
364,LastUpdatedDate,default,2018-05-22
365,PlanningHistory,uri,15/00833/FUL
365,LastUpdatedDate,default,2018-05-22
366,PlanningHistory,uri,14/00647/FUL
366,LastUpdatedDate,default,2018-05-22
367,PlanningHistory,uri,16/01175/FUL  17/01253/FUL
367,LastUpdatedDate,default,2018-05-22
368,PlanningHistory,uri,15/00715/FUL
368,LastUpdatedDate,default,2018-05-22
369,PlanningHistory,uri,15/00727/FUL
369,LastUpdatedDate,default,2018-05-22
370,PlanningHistory,uri,14/01323/FUL
370,LastUpdatedDate,default,2018-05-22
371,PlanningHistory,uri,14/00595/FUL
371,LastUpdatedDate,default,2018-05-22
372,PlanningHistory,uri,15/00742/FUL
372,LastUpdatedDate,default,2018-05-22
373,PlanningHistory,uri,15/00090/OUT
373,LastUpdatedDate,default,2018-05-22
374,PlanningHistory,uri,15/00322/PACOU
374,LastUpdatedDate,default,2018-05-22
375,PlanningHistory,uri,14/01161/FUL
375,LastUpdatedDate,default,2018-05-22
376,PlanningHistory,uri,14/00979/FUL
376,LastUpdatedDate,default,2018-05-22
377,PlanningHistory,uri,15/00181/FUL
377,LastUpdatedDate,default,2018-05-22
378,PlanningHistory,uri,15/00268/FUL
378,LastUpdatedDate,default,2018-05-22
379,PlanningHistory,uri,15/00589/FUL
379,LastUpdatedDate,default,2018-05-22
380,PlanningHistory,uri,15/00340/FUL
380,LastUpdatedDate,default,2018-05-22
381,PlanningHistory,uri,15/00838/FUL
381,LastUpdatedDate,default,2018-05-22
382,PlanningHistory,uri,14/00237/PACOU
382,LastUpdatedDate,default,2018-05-22
383,PlanningHistory,uri,15/00266/FUL
383,LastUpdatedDate,default,2018-05-22
384,PlanningHistory,uri,15/00381/FUL
384,LastUpdatedDate,default,2018-05-22
385,PlanningHistory,uri,14/01374/FUL
385,LastUpdatedDate,default,2018-05-22
386,PlanningHistory,uri,14/00756/FUL
386,LastUpdatedDate,default,2018-05-22
387,PlanningHistory,uri,15/00597/FUL
387,LastUpdatedDate,default,2018-05-22
388,PlanningHistory,uri,14/01100/FUL
388,LastUpdatedDate,default,2018-05-22
389,PlanningHistory,uri,15/00477/FUL
389,LastUpdatedDate,default,2018-05-22
390,PlanningHistory,uri,14/00720/FUL
390,LastUpdatedDate,default,2018-05-22
391,PlanningHistory,uri,14/00543/FUL
391,LastUpdatedDate,default,2018-05-22
392,PlanningHistory,uri,14/00726/FUL
392,LastUpdatedDate,default,2018-05-22
393,PlanningHistory,uri,15/00079/FUL
393,LastUpdatedDate,default,2018-05-22
394,PlanningHistory,uri,15/00156/FUL
394,LastUpdatedDate,default,2018-05-22
395,PlanningHistory,uri,14/00927/FUL
395,LastUpdatedDate,default,2018-05-22
396,PlanningHistory,uri,14/00762/FUL
396,LastUpdatedDate,default,2018-05-22
397,PlanningHistory,uri,14/00562/FUL
397,LastUpdatedDate,default,2018-05-22
398,PlanningHistory,uri,16/00259/FUL
398,LastUpdatedDate,default,2018-05-22
399,LastUpdatedDate,default,2018-05-22
400,PlanningHistory,uri,15/00920/FUL
400,LastUpdatedDate,default,2018-05-22
401,PlanningHistory,uri,15/01150/FUL
401,LastUpdatedDate,default,2018-05-22
402,PlanningHistory,uri,15/00799/FUL
402,LastUpdatedDate,default,2018-05-22
403,PlanningHistory,uri,16/00007/FUL
403,LastUpdatedDate,default,2018-05-22
404,PlanningHistory,uri,15/01090/RC
404,LastUpdatedDate,default,2018-05-22
405,PlanningHistory,uri,15/01331/FUL
405,LastUpdatedDate,default,2018-05-22
406,PlanningHistory,uri,16/00233/FUL
406,LastUpdatedDate,default,2018-05-22
407,PlanningHistory,uri,17/00063/FUL
407,LastUpdatedDate,default,2018-05-22
408,LastUpdatedDate,default,2018-05-22
409,PlanningHistory,uri,16/00287/OUT
409,LastUpdatedDate,default,2018-05-22
410,PlanningHistory,uri,15/00879/FUL
410,LastUpdatedDate,default,2018-05-22
411,PlanningHistory,uri,13/00080/OUT  14/01307/REM
411,LastUpdatedDate,default,2018-05-22
412,PlanningHistory,uri,12/01478/FUL  14/01007/FUL
412,LastUpdatedDate,default,2018-05-22
413,LastUpdatedDate,default,2018-05-22
414,LastUpdatedDate,default,2018-05-22
415,PlanningHistory,uri,08/00401/FUL   16/00119/FUL
415,LastUpdatedDate,default,2018-05-22
416,PlanningHistory,uri,13/0977/PACOU
416,LastUpdatedDate,default,2018-05-22
417,PlanningHistory,uri,11/01078/FUL
417,LastUpdatedDate,default,2018-05-22
418,PlanningHistory,uri,07/01800/OUT & 07/01783/OUT
418,LastUpdatedDate,default,2018-05-22
419,PlanningHistory,uri,14/00045/OUT   15/00161/FUL
419,LastUpdatedDate,default,2018-05-22
420,PlanningHistory,uri,13/01145/FUL  14/01203/RC
420,LastUpdatedDate,default,2018-05-22
421,PlanningHistory,uri,13/00805/FUL  14/01399/FUL
421,LastUpdatedDate,default,2018-05-22
422,PlanningHistory,uri,06/0599/FP
422,LastUpdatedDate,default,2018-05-22
423,PlanningHistory,uri,13/00036/REM & 15/00605/DEM; 15/00776/FUL
423,LastUpdatedDate,default,2018-05-22
424,PlanningHistory,uri,10/00710/FUL / 14/00343/FUL
424,LastUpdatedDate,default,2018-05-22
425,PlanningHistory,uri,10/00534/EXT & 12/00912/FUL
425,LastUpdatedDate,default,2018-05-22
426,PlanningHistory,uri,10/00671/FUL  15/00051/FUL
426,LastUpdatedDate,default,2018-05-22
427,PlanningHistory,uri,12/00589/FUL / 13/00669/RC
427,LastUpdatedDate,default,2018-05-22
428,PlanningHistory,uri,12/00020/FUL (approved)  11/01096/FUL (refused)
428,LastUpdatedDate,default,2018-05-22
429,PlanningHistory,uri,11/00627/OUT  13/00756/REM   14/00361/REM
429,LastUpdatedDate,default,2018-05-22
430,PlanningHistory,uri,11/00237/OUT  15/01396/FUL
430,LastUpdatedDate,default,2018-05-22
431,PlanningHistory,uri,08/01162/OUT / 11/01071/EXT
431,LastUpdatedDate,default,2018-05-22
432,PlanningHistory,uri,05/1989/OP; 10/01388/REM; 13/00965/FUL; 14/00665/REM; 15/00465/REM; 15/00915/REM; 15/00465/REM; 16/01319/REM
432,LastUpdatedDate,default,2018-05-22
433,PlanningHistory,uri,06/01688/OUT undetermined
433,LastUpdatedDate,default,2018-05-22
434,PlanningHistory,uri,06/01300/FUL - refused & appeal withdrawn
434,LastUpdatedDate,default,2018-05-22
435,LastUpdatedDate,default,2018-05-22
436,PlanningHistory,uri,17/00610/OUT
436,LastUpdatedDate,default,2018-05-22
437,PlanningHistory,uri,17/00610/OUT
437,LastUpdatedDate,default,2018-05-22
438,PlanningHistory,uri,17/00610/OUT
438,LastUpdatedDate,default,2018-05-22
439,LastUpdatedDate,default,2018-05-22
440,LastUpdatedDate,default,2018-05-22
441,LastUpdatedDate,default,2018-05-22
442,LastUpdatedDate,default,2018-05-22
443,LastUpdatedDate,default,2018-05-22
444,LastUpdatedDate,default,2018-05-22
445,PlanningHistory,uri,16/00394/OUT
445,LastUpdatedDate,default,2018-05-22
446,LastUpdatedDate,default,2018-05-22
447,LastUpdatedDate,default,2018-05-22
448,LastUpdatedDate,default,2018-05-22
449,LastUpdatedDate,default,2018-05-22
450,LastUpdatedDate,default,2018-05-22
451,LastUpdatedDate,default,2018-05-22
452,LastUpdatedDate,default,2018-05-22
453,LastUpdatedDate,default,2018-05-22
454,LastUpdatedDate,default,2018-05-22
455,LastUpdatedDate,default,2018-05-22
456,LastUpdatedDate,default,2018-05-22
