site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Haslemere Industrial Estate, Ravensbury Terrace, Wimbledon Park, SW18 4HS",,,2020-01-10,,0.825076826,,,,local-authority-eng:MRT,not owned by a public authority,,,allocation,,17240214,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
"Merton Youth Service, 21 Leyton Road, Colliers Wood, SW19 1DJ",,,2020-01-10,,0.333802816,,,,local-authority-eng:MRT,owned by a public authority,,,allocation,,17240216,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
SW19 1RD,,,2020-01-10,,0.37,,,,local-authority-eng:MRT,,,,,,17240223,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"Morden Hall Medical Centre, Morden Road, Morden, SW19 3DA",,,2020-01-10,,0.26667429,,,,local-authority-eng:MRT,not owned by a public authority,,,allocation,,17240239,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
"Kenley Road Car Park, Morden, SW19 3HZ",,,2020-01-10,,0.294535073,,,,local-authority-eng:MRT,owned by a public authority,,,allocation,,17240242,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
SW19 5BA,,,2020-01-10,,0.35,,,,local-authority-eng:MRT,,,,,,17240256,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
Shree Ghanapathy Temple and Works,,,2020-01-10,,0.25,,,,local-authority-eng:MRT,,,,,,17240271,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
Rainbow Industrial Estate,,,2020-01-10,,2.13,,,,local-authority-eng:MRT,,,,,,17240276,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
SW20 8DT,,,2020-01-10,,0.55,,,,local-authority-eng:MRT,,,,,,17240280,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
SW20 8LX,,,2020-01-10,,0.47,,,,local-authority-eng:MRT,,,,,,17240281,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
Worple Road Mews,,,2020-01-10,,0.48,,,,local-authority-eng:MRT,,,,,,17240317,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"Worsfold House, Church Road, Mitcham, CR4 3FA",,,2020-01-10,,1.359682365,,,,local-authority-eng:MRT,owned by a public authority,,,allocation,,17240318,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
