site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Pocklington Group Practice, 7 Barmby Road",yes,,2018-03-31,,0.06,9,9,17/01940/PLF,local-authority-eng:ERY,not owned by a public authority,2017-09-15,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/01940/PLF,permissioned,full planning permission,238,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/01940/PLF,2017-12-04
4 Great Gutter Lane East,yes,,2018-03-31,,0.14,5,5,16/03762/OUT,local-authority-eng:ERY,not owned by a public authority,2017-04-12,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03762/OUT,permissioned,outline planning permission,239,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03762/OUT,2018-11-14
Former Sir Leo Schultz Centre,yes,,2018-03-31,,6.15,128,128,16/00154/STPLF,local-authority-eng:ERY,not owned by a public authority,2018-01-26,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/00154/STPLF,permissioned,full planning permission,240,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/00154/STPLF,2017-12-04
Needler Hall Northgate,yes,,2018-03-31,,0.65,53,53,17/02946/STPLF,local-authority-eng:ERY,not owned by a public authority,2017-12-11,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02946/STPLF,permissioned,full planning permission,241,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02946/STPLF,2018-11-20
Needler Hall Northgate,yes,,2018-03-31,,0.25,7,7,17/04191/PLF,local-authority-eng:ERY,not owned by a public authority,2018-06-04,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/04191/PLF,permissioned,full planning permission,242,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/04191/PLF,2018-11-20
Land At Pinkneys Lane Driffield,yes,,2018-03-31,,0.44,15,15,DRF-D (AD),local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,95,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land West of Snowdrop Garth Holme upon Spalding Moor,yes,2018-03-31,2018-03-31,,2.45,59,59,HSM-C (AD) - Not actually Brownfield - End Date added for consistency with previous year,local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,104,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land South of 5 Front Street Middleton on the Wolds,yes,2018-03-31,2018-03-31,,0.2,8,8,15/01467/REM (PP),local-authority-eng:ERY,not owned by a public authority,2015-07-21,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01467/REM,permissioned,reserved matters approval,115,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01467/REM,2016-07-12
Land West of 10 Stone Bridge Drive Wilberfoss,yes,,2018-03-31,,0.39,12,12,WIL-B (AD),local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,121,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land South of Wilson Street Anlaby with Anlaby Common,yes,2018-03-31,2018-03-31,,0.32,10,10,15/03991/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2016-07-05,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03991/PLF,permissioned,full planning permission,127,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03991/PLF,2016-07-12
Land East of Glebe Gardens Beeford,yes,2018-03-31,2018-03-31,,0.79,14,14,15/02387/OUT (PP),local-authority-eng:ERY,not owned by a public authority,2016-04-26,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/02387/OUT,permissioned,outline planning permission,130,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/02387/OUT,2016-07-12
"Yew Tree House, Bridlington Road Driffield",yes,2018-03-31,2018-03-31,,0.11,1,1,14/00022/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2014-06-05,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/00022/PLF,permissioned,full planning permission,145,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/00022/PLF,2016-07-12
"Wards Hotel, Main Road Gilberdyke",yes,2018-03-31,2018-03-31,,0.21,10,10,14/01311/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2015-03-27,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/01311/PLF,permissioned,full planning permission,152,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/01311/PLF,2016-07-12
Londesborough Arms 44 High Street Market Weighton,yes,2018-03-31,2018-03-31,,0.08,9,9,16/02924/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2016-10-18,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02924/PLF,permissioned,full planning permission,173,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02924/PLF,2016-07-12
Cherry Tree Farm 43 High Street East Cowick East Riding Of Yorkshire DN14 9EP Snaith,yes,2018-03-31,2018-03-31,,0.29,5,5,13/02857/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2014-03-20,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/13/02857/PLF,permissioned,full planning permission,178,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/13/02857/PLF,2016-07-12
Land North of the Stray South Cave,yes,2018-03-31,2018-03-31,,1.02,24,24,13/03446/OUT (PP),local-authority-eng:ERY,not owned by a public authority,2014-06-10,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/13/03446/OUT,permissioned,outline planning permission,179,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/13/03446/OUT,2016-07-12
"Rose Park Residential Home, 4 Park Avenue Bridlington",yes,2018-03-31,2018-03-31,,0.05,7,7,16/02018/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2016-08-30,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02018/PLF,permissioned,full planning permission,199,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02018/PLF,2017-12-04
3 - 5 Esplanade Hornsea,yes,2018-03-31,2018-03-31,,0.17,8,8,15/01316/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2015-07-22,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01316/PLF,permissioned,full planning permission,210,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01316/PLF,2017-12-04
Land South Of 24 Bridgegate Howden,yes,2018-03-31,2018-03-31,,0.13,8,8,14/03791/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2015-05-29,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/03791/PLF,permissioned,full planning permission,211,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/03791/PLF,2017-12-04
"Former HSBC, 16 Market Place Howden",yes,2018-03-31,2018-03-31,,0.14,6,6,16/03540/PLF (PP),local-authority-eng:ERY,not owned by a public authority,2016-12-19,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03540/PLF,permissioned,full planning permission,213,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03540/PLF,2017-12-04
