point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2198,"Land Rudyard Grove, Friars Crescent, Lilac Road, Kildare Crescent, Balderstone Road, Rochdale",,,,2.19,not owned by a public authority,,permissioned,,,,76,76,76,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2199,"Land Between 9A&23 Milkstone Road, Rochdale",,,,0.19,not owned by a public authority,,permissioned,,,,12,12,12,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2200,"Land Bounded By Bethel Street, Earl Street, Taylor Street, Heywood",,,,0.05,,,permissioned,,,,14,14,14,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2205,"Land To Rear Of 62-82 Bury New Road, Heywood",,,,0.52,,,permissioned,,,,9,9,9,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2207,"Litho House, Barehill Street, Littleborough",,,,0.05,,,permissioned,,,,8,8,8,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2214,"Proofings Technology Ltd, Hare Hill Road, Littleborough",,,,0.76,,,permissioned,,,,11,11,11,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2216,"Site Of 25 Holmes Street, Rochdale",,,,1.45,,,permissioned,,,,5,5,5,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2217,"Site Of Former Frankfort Mill, Durn Bridge, Halifax Road, Littleborough",,,,0.81,,,permissioned,,,,33,33,33,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2218,"Spread Eagle, 10 Cheetham Street, Rochdale",,,,0.04,,,permissioned,,,,6,6,6,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2219,"Townhead Offices, Yorkshire Street, Rochdale",,,,0.27,not owned by a public authority,,permissioned,,,,14,14,14,,,2017-11-28,2017-11-28,
