point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN004,"2-24 and 13-28 Commercial Way and High Street, Woking, GU21 6BW",0.559,51.318,http://www.woking2027.info/ldfregisters,0.45,mixed ownership,,not permissioned,,,,,50,50,yes,Office uses (net 400 sqm) and retail uses also required. Yield from draft Site Allocations DPD,2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN006,"1-12 and 26-34 High Street and Commercial Way, Woking GU21 6EN",-0.558,51.319,http://www.woking2027.info/ldfregisters,0.58,mixed ownership,,not permissioned,,,,,149,149,,"Office uses (net 1,600 sqm) and retail uses also required. Yield from draft Site Allocations DPD",2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN007,"Regent House, 19-20, The Broadway, Woking, GU21 5AP",-0.555,51.32,http://www.woking2027.info/ldfregisters,0.04,not owned by a public authority,,permissioned,full planning permission,2020-02-20,,,,,,Permission implemented (PLAN/2018/0919),2017-12-20,2020-12-10,2019-10-18
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN011,"95-105 Maybury Road, Woking GU21 5JL",-0.547,51.323,http://www.woking2027.info/ldfregisters,0.81,not owned by a public authority,,not permissioned,,,,,61,61,,Office or alternative employment use compliant with Core Strategy Policy CS5 also required. Yield from draft Site Allocations DPD.,2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN015,"33-35 Portugal Road, Woking, GU21 5JE",-0.551,51.322,http://www.woking2027.info/ldfregisters,0.32,not owned by a public authority,,,,,,,,,,Incorporated into BLR2020017,2017-12-20,2020-12-11,2020-12-11
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN017,"Walton Road Youth Centre, Walton Road, Woking GU21 5DL",-0.553,51.322,http://www.woking2027.info/ldfregisters,0.08,owned by a public authority,,permissioned,other,2017-03-03,,,31,31,yes,Community use (facility suitable for use by a youth group) also required. PLAN/2017/0241: Consultation from Surrey County Council for prior approval for demolition of existing building on the former Youth Centre. Yield from draft Site Allocations DPD.,2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN018,"29-31 Walton Road, Woking, GU21 5DL",-0.553,51.322,http://www.woking2027.info/ldfregisters,0.05,not owned by a public authority,,pending decision,,,,,10,10,yes,Yield from draft Site Allocations DPD.,2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN020,"27 North Road, Woking GU21 5DT",-0.55,51.325,http://www.woking2027.info/ldfregisters,0.06,not owned by a public authority,,not permissioned,,,,,7,7,,Yield from SHLAA (2017),2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN027,"30-32 Woking Railway and Athletic Club, Systems House, Bridge House, Goldsworth Road, Woking, GU21 6JT",-0.562,51.317,http://www.woking2027.info/ldfregisters,0.72,not owned by a public authority,,pending decision,,,,,,,,"Incorporated into BLR2020005. Office use (1,500 sq. m net), retail and community uses also required",2017-12-20,2020-12-09,2020-12-10
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN028,"1-7 Victoria Way and 1-29 Goldsworth Road, Woking GU21 6JZ",-0.562,51.318,http://www.woking2027.info/ldfregisters,0.3,not owned by a public authority,,not permissioned,,,,,,,,"Incorporated into BLR2020005. Office use (1,200 sq.m net) and retail uses also required",2017-12-20,2020-12-09,2020-12-10
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN030,"The Big Apple American Amusements Ltd, HG Wells Conference Centre, the former Rat and Parrot PH, 48-58 Chertsey Road, Woking GU21 5AJ",-0.556,51.321,http://www.woking2027.info/ldfregisters,0.69,mixed ownership,,permissioned,full planning permission,2018-04-11,,,67,400,yes,"Office use (re-provision of existing floorspace), community uses (re-provision of community/cultural and entertainment floorspace) and retail uses also required. Minimum yield is from the draft Site Allocations DPD. Maximum yield is from the HIF bid. Planning permission for 68 dwellings at 46 Chertsey Road (PLAN/2017/0802).",2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN033,"The former Goldsworth Arms Public House, Goldsworth Road, Woking, GU21 6LQ",-0.566,51.317,http://www.woking2027.info/ldfregisters,0.12,not owned by a public authority,,not permissioned,,,,,43,43,yes,Yield from draft Site Allocations DPD.,2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN035,"Chester House, 76-78 Chertsey Road, Woking, GU21 5BJ",-0.554,51.322,http://www.woking2027.info/ldfregisters,0.15,not owned by a public authority,,not permissioned,,,,,14,14,,"Office use (1,000 sq.m net) also required. Yield from draft Site Allocations DPD.",2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN037,"Parrington Autos, rear of 12 and 12-16, Portugal Road, Maybury, GU21 5JE",-0.552,51.322,http://www.woking2027.info/ldfregisters,0.12,not owned by a public authority,,permissioned,,,,,,,,Incorporated into BLR2020017,2017-12-20,2020-12-11,2020-12-11
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN039,"Church Gate, 9 -11 Church Street West, Woking, GU21 6DJ",-0.564,51.318,http://www.woking2027.info/ldfregisters,0.09,not owned by a public authority,,permissioned,full planning permission,2019-12-20,,,,,,Incorporated into BLR2020003. PLAN/2019/1090 and PLAN/2018/0741,2017-12-20,2020-12-10,2020-12-10
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN041,"Premier House, 15-19 Church Street West, Woking, GU21 6DJ",-0.563,51.318,http://www.woking2027.info/ldfregisters,0.09,not owned by a public authority,,permissioned,full planning permission,2020-03-20,,,,,,Incorporated into BLR2020003. PLAN/2020/0020 and PLAN/2018/0918,2017-12-20,2020-12-10,2020-12-10
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN042,"BHS/British Heart Foundation, 2, Crown Square, Chobham Road, Woking, GU21 6HR",-0.557,51.32,http://www.woking2027.info/ldfregisters,0.3,mixed ownership,,not permissioned,,,,,98,200,,Maximum yield is from the HIF bid. Minimum yield is from SHLAA (2019),2017-12-20,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,SHLAAHEA005,"Lyndhurst-Langsett, Brookwood Lye Road, Brookwood, GU24 0HB",-0.625,51.305,http://www.woking2027.info/ldfregisters,0.59,not owned by a public authority,,not permissioned,,,,,10,10,,,2017-12-20,2020-12-09,2020-12-14
,http://opendatacommunities.org/id/district-council/woking,,SHLAAHEA012,"1 - 5 Egley Road, Woking, GU22 0AU",-0.566,51.307,http://www.woking2027.info/ldfregisters,0.36,not owned by a public authority,,not permissioned,,,,,5,5,,Yield from SHLAA (2017),2017-12-20,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,SHLAAHOE001,"Woking Football Club Woking Gymnastic Club, Woking Snooker Club, Westfield Avenue, Woking GU22 9AA",-0.558,51.306,http://www.woking2027.info/ldfregisters,4.64,mixed ownership,,not permissioned,,,,,93,93,,Yield from the draft Site Allocations DPD,2017-12-20,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,SHLAAHOE010,"Hoe Valley School Temporary Site, Woking Park, Woking, GU22 9BA",-0.559,51.31,http://www.woking2027.info/ldfregisters,0.16,owned by a public authority,,not permissioned,,,,,21,21,,Yield from the SHLAA (2017),2017-12-20,2020-12-10,
,http://opendatacommunities.org/id/district-council/woking,,SHLAAHOE019,"Sherpa House, Kingfield Road, Kingfield, Woking GU22 9EH",-0.552,51.304,http://www.woking2027.info/ldfregisters,0.06,not owned by a public authority,,not permissioned,,,,,10,10,yes,Retail use also required,2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAAHOE15,"Ian Allan Motors, 63-65, High Street, Old Woking, GU22 9JN",-0.546,51.303,http://www.woking2027.info/ldfregisters,0.28,mixed ownership,,permissioned,full planning permission,2020-06-10,,,48,48,yes,Yield from PLAN/2020/0304,2017-12-20,2020-12-09,
