site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Block 32-37 Glebe Road Chelmsford,yes,,2019-10-28,,0.02,,,supersedes 16/01590/FUL,local-authority-eng:CHL,not owned by a public authority,2019-10-28,,permissioned,full planning permission,POINT(0.467805 51.739031),19/01507/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Chamberlains Farm Sporhams Lane Sandon,yes,,2019-12-31,,1.51,,,15/01900/OUT approved 2016-06-15,local-authority-eng:CHL,not owned by a public authority,2019-10-31,,permissioned,reserved matters approval,POINT(0.54766 51.706803),18/02035/REM,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Ashby House Brook Street Chelmsford,yes,,2019-12-31,,0.08,,,16/00587/COUPA approved 2016-06-10,local-authority-eng:CHL,not owned by a public authority,2019-11-28,,permissioned,Other,POINT(0.475977 51.740415),19/01541/CUPA,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Rivermead Industrial Estate Bishop Hall Lane Chelmsford,yes,,2019-12-31,,1.8,,,student dwellings and flexible D1/B1/B8 uses,local-authority-eng:CHL,not owned by a public authority,2019-08-03,,permissioned,full planning permission,POINT(0.473749 51.743106),18/01326/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
Building North West of Well House Farm Littley Green Road Great Waltham Chelmsford,yes,31/03/2020,2019-12-31,,0.02,,,,local-authority-eng:CHL,not owned by a public authority,2019-10-14,,permissioned,full planning permission,POINT(0.465068 51.813245),19/01393/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
First Floor and Second Floor 19 Duke Street Chelmsford,yes,,2019-12-31,,0.02,,,,local-authority-eng:CHL,not owned by a public authority,2019-10-31,,permissioned,full planning permission,POINT(0.470866 51.735414),19/01556/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
St Josephs Nursing Home Gay Bowers Road Danbury Chelmsford,yes,,2019-12-31,,1.8,,,care home accommodation,local-authority-eng:CHL,not owned by a public authority,2019-11-07,,permissioned,full planning permission,POINT(0.590241 51.707985),19/00866/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
Site at 190 Galleywood Road Chelmsford,yes,,2019-12-31,,0.27,,,,local-authority-eng:CHL,not owned by a public authority,2019-11-11,,permissioned,full planning permission,POINT(0.484025 51.707555),19/014919/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
Land South of Firland Woods Road Great Waltham Chelmsford,yes,,2019-12-31,,0.19,,,,local-authority-eng:CHL,not owned by a public authority,2019-11-20,,permissioned,full planning permission,POINT(0.43014 51.823405),19/01645/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
Outbuildings at Whitedown South Hanningfield Road South Hanningfield Chelmsford,yes,,2019-12-31,,0.06,,,,local-authority-eng:CHL,not owned by a public authority,2019-11-25,,permissioned,full planning permission,POINT(0.520481 51.650382),19/01629/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
Site at 403 Baddow Road Chelmsford,yes,,2019-12-31,,0.22,,,,local-authority-eng:CHL,not owned by a public authority,2019-11-25,,permissioned,full planning permission,POINT(0.495627 51.721347),19/01295/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
Site at 60 Church Road Ramsden Heath Chelmsford,yes,,2019-12-31,,0.12,,,,local-authority-eng:CHL,not owned by a public authority,2019-12-09,,permissioned,full planning permission,POINT(0.475701 51.631694),19/01741/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
Land at Wicks Place Chelmsford,yes,,2019-12-31,,0.05,,,,local-authority-eng:CHL,not owned by a public authority,2019-12-10,,permissioned,full planning permission,POINT(0.464143 51.736698),19/01148/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
189 Moulsham Street Chelmsford,yes,,2019-12-31,,0.12,,,,local-authority-eng:CHL,not owned by a public authority,2019-12-18,,permissioned,full planning permission,POINT(0.471698 51.729677),19/01553/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-12-31
Block B Chelmsford Office and Technology Park West Hanningfield Road Great Baddow Chelmsford,yes,,2020-01-31,,0.59,,,18/00500/CUPAO approved 2018-05-09,local-authority-eng:CHL,not owned by a public authority,2020-01-15,,permissioned,Other,POINT(0.501325 51.708105),19/01959/CUPAO,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Hill & Abbott First Floor Threadneedle House 9-10 Market Road Chelmsford,yes,,2020-01-31,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2020-01-06,,permissioned,other,POINT(0.470809 51.734094),19/01849/CUPA,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-01-31
11-12 Critchett Terrace Rainsford Road Chelmsford,yes,,2020-01-31,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2020-01-06,,permissioned,other,POINT(0.461369 51.738429),19/01892/CUPA,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-01-31
Site at Oaks Cottage Woodham Road Rettendon Wickford Chelmsford,yes,,2020-01-31,,0.47,,,,local-authority-eng:CHL,not owned by a public authority,2020-01-08,,permissioned,full planning permission,POINT(0.568511 51.632047),19/01879/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-01-31
Land Adjacent 27 High Street Stock Chelmsford,yes,,2020-01-31,,0.36,,,,local-authority-eng:CHL,not owned by a public authority,2020-01-15,,permissioned,full planning permission,POINT(0.445587 51.663945),19/01486/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-01-31
Block C Chelmsford Office and Technology Park West Hanningfield Road Great Baddow Chelmsford,yes,,2020-01-31,,0.66,,,,local-authority-eng:CHL,not owned by a public authority,2020-01-16,,permissioned,other,POINT(0.501635 51.707442),19/01960/CUPAO,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-01-31
Hampton House 137 Beehive Lane Great Baddow Chelmsford,yes,,2020-01-31,,0.17,,,,local-authority-eng:CHL,not owned by a public authority,2020-01-22,,permissioned,other,POINT(0.486942 51.716657),19/01980/CUPAO,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-01-31
Site at 51-53 New London Road Chelmsford,yes,,2020-01-31,,0.17,,,,local-authority-eng:CHL,not owned by a public authority,2020-01-24,,permissioned,other,POINT(0.472821 51.731416),19/01844/CUPAO,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-01-31
Woodend Cat Hotel 77 Hopping Jacks Lane Danbury Chelmsford,yes,,2020-02-28,,0.15,,,18/00627/FUL superseded,local-authority-eng:CHL,not owned by a public authority,2020-02-05,,permissioned,full planning permission,POINT(0.589587 51.720617),19/01767/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Lee Stafford Hair and Beauty Beacon House 15-21 Rainsford Road Chelmsford,yes,,2020-02-28,,0.18,,,First and Second Floors for use a Class D1 (training centre). Residential within roof extension on third floor,local-authority-eng:CHL,not owned by a public authority,2020-02-05,,permissioned,full planning permission,POINT(0.46423 51.737227),19/00453/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-02-28
Site at Chase Farm Cattery Stock Road West Hanningfield Chelmsford,yes,,2020-02-28,,0.19,,,,local-authority-eng:CHL,not owned by a public authority,2020-02-05,,permissioned,full planning permission,POINT(0.464283 51.675902),19/01816/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-02-28
Outbuilding at Whitehouse Farm Boreham Road Great Leighs Chelmsford,yes,,2020-02-28,,0.23,,,,local-authority-eng:CHL,not owned by a public authority,2020-02-06,,permissioned,full planning permission,POINT(0.520351 51.802648),19/01896/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-02-28
Land at Great Oaks Main Road Little Waltham Chelmsford,yes,,2020-02-28,,0.05,,,19/01106/OUT approved 2019-08-12,local-authority-eng:CHL,not owned by a public authority,2020-02-10,,permissioned,reserved matters approval,POINT(0.473332 51.785319),19/01838/REM,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2020-02-28
