site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Acme House, 165 Childers Street MEL",,,2017-11-30,,0.66,85,85,Site Allocation SA8 for mixed use development including 84 residential units,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,EV012,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Rear of 197-199 Deptford High Street,,,2018-10-22,,0.03,9,9,Lapsed 09/72501 for mixed use development including 5 x one bedroom and 4 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,EV013,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Astra House, 23-25 Arklow Road",yes,,2018-10-22,,0.11,15,15,17/104557 Prior Approval for residential development including 7 x one bed and 8 x two bed self-contained flats,local-authority-eng:LEW,not owned by a public authority,2018-01-11,,permissioned,full planning permission,EV014,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
222-222a Trundley's Road,yes,,2018-10-22,,0.01,5,5,17/1016787 for residential development including 3 x one bedroom and 4 x two bedroom self-contained residential units,local-authority-eng:LEW,not owned by a public authority,2018-08-07,,permissioned,full planning permission,EV015,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
"Pepys Housing Office, Eddystone Tower, Oxstalls Road",yes,,2018-10-22,,0.07,5,5,"17/104445 for mixed use development including 2 xthree bedroom maisonettes, 1 x two bedroom, 1 x three bedroom and 1 x four bedroom self-contained flats",local-authority-eng:LEW,owned by a public authority,2018-04-03,,permissioned,full planning permission,EV016,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
"Rear of Christian Fellowship, rear of 15-17a Tyson Road",yes,,2017-11-30,,0.94,68,68,09/71953 for residential development including up to a maximum of 71 units,local-authority-eng:LEW,not owned by a public authority,2010-04-22,,permissioned,outline planning permission,FH001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Featherstone Lodge, Eliot Bank",yes,,2018-10-22,,0.63,33,33,"14/086666 for residential development including 18 x one bedroom and 15 x two-bedroom self contained flats plus 6 x two bedroom, two storey houses",local-authority-eng:LEW,not owned by a public authority,2015-11-13,,permissioned,full planning permission,FH002,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
"Former Sydenham Police Station, 179 Dartmouth Road",yes,,2017-11-30,,0.2,33,33,"15/92798 for residential development including 15 x one bedroom, 15 x two bedroom and 3 x three bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,2016-05-19,,permissioned,full planning permission,FH003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Fairway House, rear of 53 Dartmouth Road",yes,,2017-11-30,,0.2,27,27,15/090942 for mixed use development including 27 self-contained residential flats,local-authority-eng:LEW,not owned by a public authority,2015-11-27,,permissioned,full planning permission,FH004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Longfield Crescent Estate,yes,,2017-11-30,,1.56,27,27,14/089888 for residential development including 13 x 3 bed houses and 6 x one bedroom and 8 x two bedroom self-contained flats,local-authority-eng:LEW,owned by a public authority,2015-04-23,,permissioned,full planning permission,FH005,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
14 Westwood Park,yes,,2017-11-30,,0.05,7,7,"15/091285 for residential development including 1 x one bedroom, 5 x two bedroom and 1 x three bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,2016-05-06,,permissioned,full planning permission,FH006,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
29 Ewelme Road,yes,,2018-10-22,,0.05,5,5,"16/096800 for residential development including 1 x one bedroom, 2 x two bedroom and 3 x three bedroom flats",local-authority-eng:LEW,not owned by a public authority,2016-10-12,,permissioned,full planning permission,FH007,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
97 Honor Oak Park,yes,,2018-10-22,,0.09,5,5,08/68730 for residential development including 1x3 bedroom and 5x2 bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2011-10-31,,permissioned,full planning permission,FH008,http://www.lewisham.gov.uk/brownfieldregister,2017-12-01
1 Waldram Crescent,,,2018-10-22,,0.03,8,8,"Lapsed 07/65911 for residential development including 8 x one bedroom, self-contained flats",local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,FH009,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
39 Honor Oak Road,,,2018-10-22,,0.09,6,6,"Lapsed 07/67266 for residential development including 4 x three bedroom, self-contained maisonettes, 1 x one bedroom and 1 x three bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,FH010,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Station forecourt, Dartmouth Road, west of the railway line",,,2018-10-22,,0.43,74,74,Site Allocation SA19 for mixed use development including 74 residential units,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,FH011,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Windmill PH, 125-131 Kirkdale",yes,,2018-10-22,,0.05,9,9,16/099356 for mixed use development including 2 x one bedroom and 7 x two bedroom self-contained residential units,local-authority-eng:LEW,not owned by a public authority,2017-08-01,,permissioned,full planning permission,FH012,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
329 Baring Road and Haywood House,yes,,2018-10-22,,0.07,7,7,17/100225 Prior approval for residential development including 6 self-contained flats and 17/104065 for one x 2 bedroom self-contained flat,local-authority-eng:LEW,not owned by a public authority,2018-01-12,,permissioned,full planning permission,GP001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Garages at 55-88 Castleton Road,yes,,2017-11-30,,0.14,5,5,16/098887 for residential development including 5 x three bedroom terrace houses,local-authority-eng:LEW,not owned by a public authority,2017-06-26,,permissioned,full planning permission,GP002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
77 Burnt Ash Hill,,,2018-10-22,,0.06,5,5,"Lapsed 10/75510 for residential development including 3x one bedroom and 1 x four bedroom self-contained flats, 1 x one bedroom and 1 x two bedroom self-contained maisonettes",local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,GP003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
79 Chinbrook Road,yes,,2018-10-22,,0.12,6,6,"17/100156 for residential development including 2 x one bedroom, 2 x two bedroom and 2 x three bedroom residential units",local-authority-eng:LEW,not owned by a public authority,2017-10-16,,permissioned,full planning permission,GP004,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
Lewisham Gateway,yes,,2018-10-22,,5.53,800,800,06/62375 outline for mixed use development including 800 residential units and 14/089233 latest reserved matters,local-authority-eng:LEW,mixed ownership,2014-11-12,,permissioned,reserved matters approval,LC001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Lewisham House, 25 Molesworth Street (Citibank)",,,2018-10-22,,0.1,237,237,Lapsed 15/092471 Prior approval for residential development including 237 units,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,LC002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Boones Almshouses, Belmont Park",yes,,2017-11-30,,0.7,58,58,"10/74143 for residential development including 32 x one bedroom and 30 x two bedroom almshouses, 1 x two bedroom and 9 x three bedroom self-contained flats, 8 x three bedroom and 8 x four/five bedroom self-contained maisonettes",local-authority-eng:LEW,not owned by a public authority,2012-03-30,,permissioned,full planning permission,LC003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Rear of Chiddingstone House,yes,,2018-10-22,,0.55,53,53,16/099284 for residential development including 46 x one bedroom and 5 x two bedroom flats plus amendment to provide 2 additional units,local-authority-eng:LEW,owned by a public authority,2017-01-26,,permissioned,other,LC004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
223-225 Lewisham High Street,yes,,2017-11-30,,0.07,22,22,13/085398 for mixed use development including 22 flats,local-authority-eng:LEW,not owned by a public authority,2015-03-25,,permissioned,full planning permission,LC005,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
37-43 Nightingale Grove (remainder of site),,,2017-11-30,,0.22,30,30,Site Allocation SA35 for mixed use development including 30 residential units,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,LC006,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
35 Nightingale Grove,yes,,2018-10-22,,0.02,8,8,13/084806 for mixed use development including 7 x one bedroom and 1 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2014-07-21,,permissioned,full planning permission,LC008,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"323 Lewisham High Street, Ravensbourne Arms",yes,,2017-11-30,,0.04,7,7,14/088176 for residential development including 5 x one bedroom and 2 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2015-08-24,,permissioned,full planning permission,LC009,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Rear of 101-103 Springbank Road,yes,,2017-11-30,,0.09,6,6,14/090373 for residential development including 6 x two bedroom houses,local-authority-eng:LEW,not owned by a public authority,2015-08-20,,permissioned,full planning permission,LC012,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Robert Square Bonfield Road,yes,,2017-11-30,,0.26,3,3,16/097298 for residential development including 3 x one bedroom flats,local-authority-eng:LEW,not owned by a public authority,2016-08-26,,permissioned,full planning permission,LC014,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
