site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"106 Rosemary Crescent West, Wolverhampton, West Midlands, WV4 5AN",,,2018-05-22,,0.065,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.135598 52.56216),35170,,
"60 Avondale Road, Wolverhampton, West Midlands, WV6 0AJ",,,2018-05-22,,0.021,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.147426 52.592199),35640,,
"Land adjacent to 26 Rooker Crescent, Wolverhampton, West Midlands, WV2 2DU",,,2018-05-22,,0.049,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.110037 52.569783),35440,,
"Oriel Lodge, 796 Stafford Road WV10 6NT",,,2018-05-22,,0.17,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.124611 52.630953),34510,,
176 Newhampton Road East Wolverhampton West Midlands WV1 4PQ,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.140815 52.592773),33690,,
Garage Site To The Rear Of 15 To 21 Bradley Lane Wolverhampton West Midlands,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.057936 52.555652),33900,,
"57 Wellington Road, Wolverhampton, West Midlands, WV14 6AQ",,,2018-05-22,,0.032,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.081147 52.568593),35120,,
Slade Hill Riches Street Wolverhampton West Midlands WV6 0EJ,,,2018-05-22,,0.3446,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.150935 52.591061),33490,,
"187 Tettenhall Road, Wolverhampton, West Midlands, WV6 0BZ",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.15299 52.591787),35530,,
"122B Castlecroft Road, Castlecroft, Wolverhampton, West Midlands, WV3 8LU",,,2018-05-22,,0.0053,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-3.457231 52.568326),35450,,
1 Wolseley Road,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.089166 52.57238),34260,,
"Land adj 22 Marchant Road, Stowlawn",,,2018-05-22,,0.1073044,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.082541 52.572817),31220,,
First Floor 1 - 13 Mount Pleasant Bilston WV14 7LJ,,,2018-05-22,,0.0363,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.074505 52.56715),37650,,
"64 Green Lanes, Wolverhampton, WV14 6DA",,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.084073 52.571503),35220,,
"15-18 Queen Street, City Centre WV1 3JW",,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.125574 52.585589),34680,,
